o,h,l,c,v,ts
7540.5,7546.25,7539.25,7544.75,1675,2026-06-18 04:45:00
7545.0,7548.0,7542.75,7544.75,1463,2026-06-18 05:00:00
7544.5,7549.5,7544.0,7548.25,1292,2026-06-18 05:15:00
7548.5,7550.5,7546.5,7548.0,1661,2026-06-18 05:30:00
7547.75,7548.0,7544.25,7546.5,1100,2026-06-18 05:45:00
7546.25,7548.5,7541.25,7544.5,2804,2026-06-18 06:00:00
7544.5,7550.75,7541.0,7550.25,2795,2026-06-18 06:15:00
7550.25,7550.25,7543.75,7546.5,2654,2026-06-18 06:30:00
7546.75,7557.25,7546.5,7556.75,3345,2026-06-18 06:45:00
7556.5,7559.0,7550.25,7551.5,5082,2026-06-18 07:00:00
7551.5,7559.25,7550.5,7558.75,3111,2026-06-18 07:15:00
7558.5,7558.5,7553.5,7556.75,2757,2026-06-18 07:30:00
7556.75,7559.5,7554.0,7559.25,2746,2026-06-18 07:45:00
7559.5,7568.25,7559.5,7565.25,7130,2026-06-18 08:00:00
7565.25,7566.0,7555.5,7556.5,4745,2026-06-18 08:15:00
