tarih,f_ticari_tl,f_tuketici,f_ihtiyac,f_konut,f_mevduat_tl,f_mevduat_3a,makas,marjinal,politika_h,kredi_marj,mevduat_marj,beta_ticari_tl,r2_ticari_tl,beta_mevduat_tl,r2_mevduat_tl
2024-06-28,62.38,71.35,74.56,44.16,56.36,59.17,6.020000000000003,50.274,50.0,12.106000000000002,-6.0859999999999985,0.64662195943772,0.17609419228354017,0.6505461143433118,0.3841336308185216
2024-07-05,63.14,74.82,76.92,44.26,56.55,59.45,6.590000000000003,50.0,50.0,13.14,-6.549999999999997,0.5950084898492124,0.1772435722482507,0.6496651984085409,0.3841775047142957
2024-07-12,62.65,75.26,77.9,44.24,56.16,59.56,6.490000000000002,49.986946,50.0,12.663053999999995,-6.173053999999993,0.6025517723171149,0.18158902701331658,0.6610664448005424,0.4481292103072485
2024-07-19,61.88,73.69,75.74,44.17,55.77,59.27,6.109999999999999,48.98376756885296,50.0,12.896232431147041,-6.786232431147042,0.6126058529539087,0.1879066108588341,0.6385289140461513,0.4437433710625255
2024-07-26,61.84,71.63,74.33,43.72,55.75,59.25,6.090000000000003,49.86292,50.0,11.97708,-5.887079999999997,0.6430959210436014,0.20342130669407354,0.6730093120234608,0.4907602211779175
2024-08-02,62.32,71.47,73.93,43.64,55.79,59.09,6.530000000000001,48.11188470574364,50.0,14.208115294256359,-7.678115294256358,0.6311657135851666,0.25250756571693567,0.644540852036151,0.48776501576786047
2024-08-09,61.05,72.32,74.59,43.48,55.2,58.48,5.849999999999994,51.447379999999995,50.0,9.602620000000002,-3.7526200000000074,0.542649801451254,0.1957768707777362,0.5732314877124725,0.40627922020150975
2024-08-16,60.5,71.2,73.68,43.56,55.33,59.23,5.170000000000002,50.23933047898879,50.0,10.26066952101121,-5.090669521011208,0.5398780967503711,0.19920492307733006,0.5623001786817713,0.40205887603392165
2024-08-23,59.31,70.36,73.22,43.49,55.47,59.06,3.8400000000000034,49.99766451827405,50.0,9.312335481725952,-5.472335481725949,0.5506625668243411,0.20531699877433296,0.5629999070563589,0.4063073049930864
2024-08-30,59.73,69.5,72.24,43.48,55.29,59.36,4.439999999999998,49.99538019399182,50.0,9.734619806008176,-5.294619806008178,0.4244229161440555,0.12236318439020866,0.5055771854359584,0.32629914755400624
2024-09-06,60.93,68.82,71.65,43.25,55.95,59.27,4.979999999999997,52.59400000000001,50.0,8.335999999999991,-3.3559999999999945,0.390950287459124,0.10977516548354338,0.487557279693813,0.31057520536858974
2024-09-13,59.47,69.81,73.65,43.22,56.15,60.18,3.3200000000000003,50.423504571767616,50.0,9.046495428232383,-5.726495428232383,0.4158267281731423,0.1328517075856953,0.46512068941269263,0.3120348453542343
2024-09-20,57.81,68.32,71.47,43.2,56.26,59.84,1.5500000000000043,49.99319301270059,50.0,7.816806987299415,-6.266806987299411,0.43873746421347504,0.14531594183469432,0.4621811055854457,0.3102699234312458
2024-09-27,59.57,67.52,70.84,42.93,56.11,59.5,3.460000000000001,49.99401339948666,50.0,9.575986600513339,-6.115986600513338,0.39155135615477166,0.11535087280062695,0.43787136128159604,0.28402945699255056
2024-10-04,60.73,67.76,71.09,41.76,56.26,59.76,4.469999999999999,49.996641540803104,50.0,10.733358459196893,-6.263358459196894,0.3652464590375207,0.11196384634121492,0.44192226671732426,0.2890485060355983
2024-10-11,60.03,67.48,71.71,41.61,55.94,59.19,4.090000000000003,49.99548204326024,50.0,10.034517956739762,-5.944517956739759,0.37267117249047055,0.11492694632023615,0.45157001610978836,0.2982562691371372
2024-10-18,59.02,67.09,71.08,41.41,56.06,59.64,2.960000000000001,49.99627055451081,50.0,9.023729445489195,-6.063729445489194,0.36695520922633074,0.1131735124054668,0.4485745777939362,0.2963138160686031
2024-10-25,59.47,65.78,70.35,41.29,55.82,59.47,3.6499999999999986,49.99707328189905,50.0,9.47292671810095,-5.822926718100952,0.3655602416582394,0.1126659774340193,0.4501658551590956,0.29765286378069
2024-11-01,60.34,66.04,69.66,41.36,56.02,58.98,4.32,49.99726655241056,50.0,10.342733447589445,-6.022733447589445,0.3224251865521502,0.07766042537006623,0.42747941363361747,0.24638059130916212
2024-11-08,60.73,66.56,70.46,41.33,55.48,59.01,5.25,49.99720486706677,50.0,10.732795132933227,-5.4827951329332265,0.32076571954582156,0.07721887091560653,0.42992185028953567,0.2468518107475297
2024-11-15,57.85,66.36,70.38,40.88,55.99,58.97,1.8599999999999994,49.99797490891302,50.0,7.852025091086979,-5.99202509108698,0.3419059720848038,0.08198637218413496,0.4312303027242719,0.24737122736075545
2024-11-22,59.9,66.09,70.69,41.28,56.06,59.3,3.8399999999999963,49.99808517683197,50.0,9.901914823168028,-6.061914823168031,0.3287494399123876,0.07424042769866024,0.4285657341316076,0.24542093717092273
2024-11-29,59.78,65.14,70.31,41.33,55.93,59.18,3.8500000000000014,49.99767432442845,50.0,9.782325675571549,-5.932325675571548,0.3906322146905371,0.08176492623024778,0.4188956518400648,0.1947131599975408
2024-12-06,61.25,65.84,69.77,41.11,55.94,59.54,5.310000000000002,49.99655500882038,50.0,11.25344499117962,-5.943444991179618,0.3871390973279135,0.07918864547696203,0.42111888140739334,0.1983153721333516
2024-12-13,59.69,64.81,68.85,41.23,56.21,59.24,3.479999999999997,49.996467735883435,50.0,9.693532264116563,-6.213532264116566,0.38831682785017774,0.07814626675659153,0.42474434580003406,0.20298586558029053
2024-12-20,60.27,64.95,69.23,41.01,56.54,59.45,3.730000000000004,49.99705672544162,50.0,10.272943274558386,-6.542943274558382,0.3894389513774288,0.07761809437753753,0.43418698756716956,0.21018521611352992
2024-12-27,59.63,65.1,70.08,40.87,55.68,59.16,3.950000000000003,49.53665180612125,47.5,10.093348193878754,-6.143348193878751,0.3657483405849846,0.06491341369730086,0.45826340496325796,0.2151608825319341
2025-01-03,62.19,69.09,72.5,40.71,54.58,56.88,7.609999999999999,47.54006917625903,47.5,14.649930823740966,-7.039930823740967,0.26143655826598056,0.034196152459763485,0.4685177592337954,0.23749654661824082
