kod,itfa,vade_yil,reel_getiri,endeks_orani,tarih
TP.TRT120128A12,2028-01-12,2.032876712328767,7.371233386939546,10.650896105887673,2025-12-31
TP.TRT280628A19,2028-06-28,2.493150684931507,4.583952939430325,10.013304898621765,2025-12-31
TP.TRT190728A27,2028-07-19,2.5506849315068494,6.831543410224961,2.6530890055472818,2025-12-31
TP.TRT181028A15,2028-10-18,2.8,3.377372022984426,2.17830684985964,2025-12-31
TP.TRT140229A18,2029-02-14,3.126027397260274,6.313853223266386,1.8721530663603143,2025-12-31
TP.TRT110429A19,2029-04-11,3.2794520547945205,5.673644355218732,1.209916891678648,2025-12-31
TP.TRT020529A19,2029-05-02,3.336986301369863,5.035852956245712,1.651905708484448,2025-12-31
TP.TRT130629A15,2029-06-13,3.452054794520548,6.313879878767215,1.1482454883129434,2025-12-31
TP.TRT280531A15,2031-05-28,5.4082191780821915,3.4587930740421324,6.561115400266984,2025-12-31
TP.TRT110232A16,2032-02-11,6.117808219178082,4.133159764671923,5.154693697664169,2025-12-31
TP.TRT040832A19,2032-08-04,6.597260273972603,4.378902825723574,3.610729573166615,2025-12-31
TP.TRT120133A15,2033-01-12,7.038356164383561,4.174128767293173,3.1134416013860298,2025-12-31
TP.TRT070933A14,2033-09-07,7.69041095890411,4.051354805129859,2.4080708256125183,2025-12-31
TP.TRT180827A10,2027-08-18,1.6273972602739726,7.47521334605048,1.4974339784699555,2026-01-01
TP.TRT151227A17,2027-12-15,1.9534246575342467,9.396501791057421,1.3456803470521026,2026-01-01
TP.TRT120128A12,2028-01-12,2.03013698630137,8.83097343094783,10.659446901817704,2026-01-01
TP.TRT280628A19,2028-06-28,2.4904109589041097,6.76936164066495,10.021343820973659,2026-01-01
TP.TRT190728A27,2028-07-19,2.547945205479452,5.4059129220173086,2.655218969302924,2026-01-01
TP.TRT181028A15,2028-10-18,2.797260273972603,6.872938812371832,2.180055647065149,2026-01-01
TP.TRT140229A18,2029-02-14,3.1232876712328768,6.2932023985970975,1.873656075934446,2026-01-01
TP.TRT110429A19,2029-04-11,3.276712328767123,5.67343145464434,1.2108882421012028,2026-01-01
TP.TRT020529A19,2029-05-02,3.334246575342466,5.035506063464545,1.653231898174825,2026-01-01
TP.TRT130629A15,2029-06-13,3.4493150684931506,6.313623780214561,1.1491673274474663,2026-01-01
TP.TRT280531A15,2031-05-28,5.405479452054794,3.4588336988625734,6.566382821740569,2026-01-01
TP.TRT110232A16,2032-02-11,6.115068493150685,4.1536274069123635,5.158832009919998,2026-01-01
TP.TRT040832A19,2032-08-04,6.594520547945206,4.358433496863956,3.6136283538355594,2026-01-01
TP.TRT120133A15,2033-01-12,7.035616438356165,4.174104673609902,3.115941147293609,2026-01-01
TP.TRT070933A14,2033-09-07,7.6876712328767125,4.276514797547071,2.4100040828718297,2026-01-01
TP.TRT180827A10,2027-08-18,1.6246575342465754,7.4749502882891505,1.4978518216465708,2026-01-02
TP.TRT151227A17,2027-12-15,1.9506849315068493,9.39665160474641,1.3460558449765556,2026-01-02
TP.TRT120128A12,2028-01-12,2.0273972602739727,8.831015227240346,10.66242130818116,2026-01-02
TP.TRT280628A19,2028-06-28,2.4876712328767123,6.769380368504696,10.024140171394656,2026-01-02
TP.TRT190728A27,2028-07-19,2.5452054794520547,5.405965195585294,2.655959880184268,2026-01-02
TP.TRT181028A15,2028-10-18,2.7945205479452055,6.873041820540315,2.1806639686271443,2026-01-02
TP.TRT140229A18,2029-02-14,3.1205479452054794,6.293226588197087,1.874178899923957,2026-01-02
TP.TRT110429A19,2029-04-11,3.2739726027397262,5.673905125823309,1.211226127708769,2026-01-02
TP.TRT020529A19,2029-05-02,3.3315068493150686,5.035743660306213,1.6536932151196435,2026-01-02
TP.TRT130629A15,2029-06-13,3.4465753424657533,6.313482461680064,1.149487990484012,2026-01-02
TP.TRT280531A15,2031-05-28,5.402739726027397,3.4588821102500056,6.568215101691844,2026-01-02
TP.TRT110232A16,2032-02-11,6.112328767123287,4.1536316320043065,5.160271527645415,2026-01-02
TP.TRT040832A19,2032-08-04,6.5917808219178085,4.358433348609525,3.6146366987590643,2026-01-02
TP.TRT120133A15,2033-01-12,7.032876712328767,4.174129952685823,3.1168106178451334,2026-01-02
TP.TRT070933A14,2033-09-07,7.684931506849315,4.276498044321841,2.41067656912239,2026-01-02
TP.TRT180827A10,2027-08-18,1.6164383561643836,7.474715061380621,1.499105351176417,2026-01-05
TP.TRT151227A17,2027-12-15,1.9424657534246574,9.396173946150753,1.3471823387499153,2026-01-05
TP.TRT120128A12,2028-01-12,2.0191780821917806,8.83096049947727,10.671344527271533,2026-01-05
TP.TRT280628A19,2028-06-28,2.4794520547945207,6.769369863006824,10.032529222657647,2026-01-05
TP.TRT190728A27,2028-07-19,2.536986301369863,5.405969010613454,2.6581826128283,2026-01-05
TP.TRT181028A15,2028-10-18,2.786301369863014,6.872959455255012,2.1824889333131305,2026-01-05
TP.TRT140229A18,2029-02-14,3.1123287671232878,6.293324099089781,1.8757473718924904,2026-01-05
TP.TRT110429A19,2029-04-11,3.265753424657534,5.673751036249075,1.212239784531468,2026-01-05
TP.TRT020529A19,2029-05-02,3.3232876712328765,5.035575948684223,1.655077165954099,2026-01-05
TP.TRT130629A15,2029-06-13,3.4383561643835616,6.314075678156117,1.1504499795936498,2026-01-05
TP.TRT280531A15,2031-05-28,5.394520547945206,3.4588241050167223,6.573711941545669,2026-01-05
TP.TRT110232A16,2032-02-11,6.104109589041096,4.153651943464887,5.164590080821667,2026-01-05
TP.TRT040832A19,2032-08-04,6.583561643835616,4.358440397028374,3.6176617335295793,2026-01-05
TP.TRT120133A15,2033-01-12,7.024657534246575,4.174085740515476,3.119419029499707,2026-01-05
TP.TRT070933A14,2033-09-07,7.676712328767123,4.276454075053104,2.4126940278740716,2026-01-05
TP.TRT180827A10,2027-08-18,1.6136986301369862,7.475487694150829,1.4995231943530323,2026-01-06
TP.TRT151227A17,2027-12-15,1.9397260273972603,9.396368552807367,1.3475578366743683,2026-01-06
TP.TRT120128A12,2028-01-12,2.0164383561643837,8.831041895418213,10.67431893363499,2026-01-06
TP.TRT280628A19,2028-06-28,2.4767123287671233,6.769360905565613,10.035325573078644,2026-01-06
TP.TRT190728A27,2028-07-19,2.5342465753424657,5.406038285486137,2.6589235237096442,2026-01-06
TP.TRT181028A15,2028-10-18,2.7835616438356166,6.873083356437681,2.183097254875126,2026-01-06
TP.TRT140229A18,2029-02-14,3.1095890410958904,6.293364938235579,1.8762701958820014,2026-01-06
TP.TRT110429A19,2029-04-11,3.263013698630137,5.673599934161322,1.2125776701390343,2026-01-06
TP.TRT020529A19,2029-05-02,3.3205479452054796,5.03560081779586,1.6555384828989175,2026-01-06
TP.TRT130629A15,2029-06-13,3.4356164383561643,6.313949362302429,1.1507706426301958,2026-01-06
TP.TRT280531A15,2031-05-28,5.391780821917808,3.458877190840748,6.575544221496944,2026-01-06
