dt,MK_F_BILESIK,UNIXTIME
1987-12-18,0.0688,"{""numberLong"":""566780400""}"
1987-12-21,0.0682,"{""numberLong"":""567039600""}"
1987-12-22,0.0672,"{""numberLong"":""567126000""}"
1987-12-23,0.0655,"{""numberLong"":""567212400""}"
1987-12-24,0.0639,"{""numberLong"":""567298800""}"
1987-12-25,0.0633,"{""numberLong"":""567385200""}"
1987-12-28,0.0651,"{""numberLong"":""567644400""}"
1987-12-29,0.0644,"{""numberLong"":""567730800""}"
1987-12-30,0.0655,"{""numberLong"":""567817200""}"
1987-12-31,0.0673,"{""numberLong"":""567903600""}"
1988-01-01,,"{""numberLong"":""567990000""}"
1988-01-04,0.0689,"{""numberLong"":""568249200""}"
1988-01-05,0.0707,"{""numberLong"":""568335600""}"
1988-01-06,0.0707,"{""numberLong"":""568422000""}"
1988-01-07,0.0703,"{""numberLong"":""568508400""}"
1988-01-08,0.0696,"{""numberLong"":""568594800""}"
1988-01-11,0.0703,"{""numberLong"":""568854000""}"
1988-01-12,0.0724,"{""numberLong"":""568940400""}"
1988-01-13,0.0735,"{""numberLong"":""569026800""}"
